Date,Hour,Hourly rainfall value dhapdam,DateTime,Date,Hour,Hourly rainfall value_sundarijal
28/9/2024,0,1.6,28/9/2024 00:00,28/9/2024,0,2.2
28/9/2024,1,5.4,28/9/2024 01:00,28/9/2024,1,3
28/9/2024,2,13.8,28/9/2024 02:00,28/9/2024,2,8.2
28/9/2024,3,10,28/9/2024 03:00,28/9/2024,3,7
28/9/2024,4,7.2,28/9/2024 04:00,28/9/2024,4,4.6
28/9/2024,5,4.8,28/9/2024 05:00,28/9/2024,5,6
28/9/2024,6,5.2,28/9/2024 06:00,28/9/2024,6,6.2
28/9/2024,7,6.6,28/9/2024 07:00,28/9/2024,7,6
28/9/2024,8,8.4,28/9/2024 08:00,28/9/2024,8,7.6
28/9/2024,9,12,28/9/2024 09:00,28/9/2024,9,9.6
28/9/2024,10,10.4,28/9/2024 10:00,28/9/2024,10,8.6
28/9/2024,11,9.6,28/9/2024 11:00,28/9/2024,11,9.4
28/9/2024,12,6.6,28/9/2024 12:00,28/9/2024,12,5.4
28/9/2024,13,4,28/9/2024 13:00,28/9/2024,13,2.6
28/9/2024,14,1,28/9/2024 14:00,28/9/2024,14,0.8
28/9/2024,15,1,28/9/2024 15:00,28/9/2024,15,1.4
28/9/2024,16,3.8,28/9/2024 16:00,28/9/2024,16,3
28/9/2024,17,4.4,28/9/2024 17:00,28/9/2024,17,2.4
28/9/2024,18,1.2,28/9/2024 18:00,28/9/2024,18,1
28/9/2024,19,0.6,28/9/2024 19:00,28/9/2024,19,0
28/9/2024,20,0,28/9/2024 20:00,28/9/2024,20,0.2
28/9/2024,21,0,28/9/2024 21:00,28/9/2024,21,0
28/9/2024,22,0,28/9/2024 22:00,28/9/2024,22,0
28/9/2024,23,0,28/9/2024 23:00,28/9/2024,23,0